id,party_id,phrases
1,2,"El próximo 4 de mayo las madrileñas y madrileños, sin haber superado aún la pandemia de la COVID-19, acudiremos a unas elecciones convocadas por quien prioriza sus propios cálculos electorales sobre los intereses comunes."
2,2,"Hemos sufrido el abandono de una presidenta que ha utilizado la sede del Gobierno regional como un plató de televisión para su uso partidista en medio de la crisis sanitaria, climática y económica."
3,2,"Abordamos esta convocatoria electoral desde el conocimiento profundo de la región: no acabamos de llegar, llevamos años haciendo política madrileña."
4,2,Los compromisos que adquirimos con el programa electoral con el que nos presentamos en 2019 siguen vigentes.
5,2,"Hemos revisado y actualizado las medidas para que sean soluciones reales a los problemas a los que nos enfrentamos ahora mismo y para los próximos dos años, hasta la próxima convocatoria electoral en 2023."
6,2,"Es imprescindible una nueva orientación de las políticas públicas. Por ello, defendemos que la sostenibilidad de la vida sea el eje de cambio de nuestra sociedad."
7,2,"Una sociedad diversa que ha demostrado siempre su hospitalidad y solidaridad, en la que queremos que se la reconozca por sus virtudes y no por ser el after party de Europa."
8,2,"Proponemos una batería amplia de cambios normativos necesarios para impulsar un modelo de región más saludable, igualitaria, sostenible, participativa, solidaria y segura."
9,2,"Somos conscientes de que, para dar consistencia a esa transformación, la base estaría en la reforma del Estatuto de Autonomía, acción inabarcable en el horizonte a dos años con una región devastada por la crisis sanitaria y climática."
10,2,"Ahora la prioridad es sacar a la región del abandono en el que Ayuso nos ha tenido, salir de un gobierno que la única ley que ha aprobado en dos años ha sido una ley para afianzar la especulación en Madrid."
11,2,"Y para eso tenemos preparados los textos normativos prácticamente en su totalidad, solo a la espera de que la mayoría parlamentaria permita su aprobación."
12,2,Esta irresponsable convocatoria electoral nos ha pillado trabajando. Mónica García ha sido la oposición visible y la alternativa a Ayuso durante toda la pandemia.
13,2,Ha estado en primera línea como sanitaria en la lucha contra la pandemia en su Hospital y como diputada con propuestas concretas: propuso un plan efectivo de vacunación que habría evitado el desperdicio de vacunas y que ocupásemos los últimos puestos en efectividad;
14,2,"destapó los 80 millones derrochados en el Hospital IFEMA y los sobrecostes en la construcción del Isabel Zendal, dinero despilfarrado mientras somos la Comunidad que no ha ofrecido ayudas a los sectores más dañados con la crisis sufrida;"
15,2,reclamó desde el primer momento la necesidad de contratar rastreadores y reforzar la atención primaria;
16,2,propuso la creación de una farmacéutica pública y que nunca más los intereses privados de los mercados y los oligopolios secuestraran el suministro de vacunas o medicinas;
17,2,"hemos puesto en la agenda la necesidad de invertir en salud mental en un mundo gobernado por la aceleración, la angustia de la precariedad y la inestabilidad y el shock de la pandemia."
18,2,Hemos contribuido a sacar a la luz los 'protocolos de la vergüenza' por los que se dejó morir a ancianos en las residencias.
19,2,"Y en esta línea de continuar con las políticas de lo cotidiano, transformadoras de la vida del día a día, lanzamos esta batería de propuestas que esperamos nos vacunen contra la pandemia, contra el cambio climático y contra la crisis socioeconómica."
20,2,"Tras una década caracterizada por la falta de rumbo en las políticas de salud, llegó la pandemia de COVID-19 y evidenció las grandes carencias de nuestro sistema. "
21,2,"Planteamos un modelo, basado en una serie de medidas, que se ocupe de los problemas de salud de la gente con una perspectiva global y de cercanía, potenciando el sistema sanitario, mejorando las condiciones laborales de sus trabajadores y trabajadoras, siendo fuertemente inclusivo para no dejar a nadie fuera y con una fuerte conciencia de que las mejores políticas para mejorar la salud de la población son aquellas que se logran articular una fuerte respuesta a los retos ecológicos y de cuidados que tenemos presentes a día de hoy."
22,2,"Queremos una Comunidad de Madrid con una sanidad que nos cuide y nos capacite para ser personas más autónomas, más libres."
23,2,"Una Comunidad de Madrid que comprenda que somos personas interdependientes y que precisamos de cuidados por parte de las instituciones, así como espacios urbanos y rurales donde desempeñar nuestras vidas de forma saludable."
24,2,"Una Comunidad de Madrid que mire al futuro, investigue e innove."
25,2,La salud como derecho
26,2,"Entendemos la salud como un derecho fundamental, basado en la universalidad de la cobertura, la centralidad de las políticas de Salud Pública y la garantía de acceso equitativo a la asistencia sanitaria."
27,2,"Para ello, es fundamental que las instituciones públicas jueguen un papel determinante en asegurar a la población la obtención de la atención que requieran desde el inicio hasta el final de la vida, siendo los cuidados en este último caso un buen medidor de la calidad de nuestros servicios sanitarios."
28,2,"Garantizaremos el cumplimiento de la cobertura sanitaria universal eliminando las trabas administrativas y legales existentes para el cumplimiento íntegro de este derecho incluso en aquellos supuestos no contemplados en el RD 7/2018, instando al gobierno de la nación a su reformulación. Se ampliará progresivamente el ámbito de la cobertura de medicamentos, desarrollando la normativa y las prestaciones precisas para ello."
29,2,"Como la universalidad no ha de ser solo un derecho sino también un hecho facilitado por las instituciones, se mejorarán los servicios de interpretación 24 horas en los centros sanitarios, así como se extenderán medidas de probado éxito como la acción de los y las profesionales de la mediación cultural."
30,2,"Garantizaremos que todas las personas de la Comunidad de Madrid tengan derecho a un abordaje integral, multisectorial e intersectorial de la salud. Desarrollaremos políticas públicas efectivas que garanticen la prevención y promoción de la salud basado en los determinantes sociales de la salud con especial atención a las medidas de protección social y de protección del medioambiente como garantes de salud."
31,2,"Se trabajará sobre un abordaje centrado en revertir las desigualdades en salud y bienestar, especialmente en el marco de las nuevas vulnerabilidades destapadas y acrecentadas por la pandemia de COVID-19, que han venido a sumarse a las existentes previamente y han mostrado como una sociedad desigual es una sociedad más débil ante las adversidades."
32,2,"Se impulsará la Receta Social y se incluirá la prescripción social en la cartera de servicios del SERMAS, con incorporación en los sistemas de historia clínica electrónica y formación sobre su realización y recursos de la comunidad para su puesta en práctica."
