id,phrases,party_id
0,INTRODUCCIÓN,4
1,"Un programa electoral no es una mera enumeración de propuestas sobre diferentes asuntos aplicables en cualquier circunstancia, tiempo o lugar. Muy al contrario, es una visión coherente y una respuesta a los problemas de una sociedad en un momento muy concreto. Y aunque el último programa electoral del Partido Socialista para la Comunidad de Madrid se presentó hace apenas dos años, hay dos circunstancias completamente nuevas.",4
2,"La primera es la pandemia causada por la COVID-19. Una circunstancia que ha condicionado la vida de la ciudadanía madrileña durante más de un año y que además ha aumentado enormemente las dificultades y la incertidumbre sobre el futuro. Madrid además ha sufrido esta pandemia de forma especialmente acusada, con nuestra región en los puestos más altos en términos de mortalidad, infecciones u ocupación de camas, algo que no es solo fruto del azar, sino también de decisiones políticas equivocadas y de un liderazgo político más preocupado por la confrontación que por la prevención.",4
3,"La segunda circunstancia es el aumento de la inestabilidad y del extremismo político. En medio de una crisis sanitaria la presidenta de la Comunidad de Madrid ha decidido, sin haber logrado antes aprobar unos presupuestos que encauzasen la reconstrucción, expulsar a su socio de gobierno y convocar unas elecciones anticipadas con el fin de sumar una nueva mayoría con la ultraderecha. Madrid corre el riesgo de ser la primera capital europea gobernada por un partido de este signo político.",4
4,Este programa electoral intenta dar respuesta a estas circunstancias tan graves y lo hace enfocándose en lo que realmente importa:,4
5,Apostando por un gobierno sin extremismos que represente a la mayoría templada y abierta que existe en la Comunidad de Madrid,4
6,Con un plan viable a dos años hasta 2023.,4
7,"Con propuestas centradas en la vacunación, la recuperación económica y la protección social.",4
8,"Con una estrategia para aprovechar el Plan de Recuperación, Transformación y Resiliencia y absorber con eficacia los fondos europeos.",4
9,Con iniciativas para garantizar el futuro y las oportunidades de los jóvenes.,4
10,"Los fundamentos del programa son sólidos. Se trata de propuestas que el PSOE ya defendió en la anterior convocatoria electoral, de las conclusiones de la Comisión parlamentaria para la recuperación e impulso de la actividad económica y social de la Comunidad de Madrid que fueron aprobadas por todos los partidos salvo la ultraderecha, del intenso trabajo propositivo realizado estos dos años por el Grupo Parlamentario Socialista y de aportaciones de diversos sectores de la sociedad civil que han visto en esta candidatura una opción de gobierno transformadora y rigurosa.",4
11,"Nuestro proyecto está dividido en tres apartados dedicados a las cuestiones que más preocupan a los madrileños en los próximos dos años. En primer lugar, la vacunación, la lucha contra el virus y el impulso a la sanidad madrileña para recuperar el tiempo perdido, empezar a proteger en serio la salud de los madrileños, acelerar la inmunización y reforzar la salud pública. En segundo lugar, la recuperación económica aprovechando los fondos europeos y sentando las bases para la transformación verde, digital y educativa de la región cuidando mientras tanto a los trabajadores y autónomos. Un ejemplo de esta capacidad transformadora de los fondos europeos será la creación de un hub de ciencia y salud que canalice los fondos en esta materia y consolide la posición de liderazgo de Madrid en estas materias.",4
12,"Y por último la prioridad de no dejar a nadie atrás abordando las enormes carencias de Madrid en la lucha contra la pobreza, en las listas de espera para el acceso a las ayudas por dependencia o en el cuidado de nuestros mayores. No dejar a nadie atrás implica también defender la dignidad y la libertad de todas las ciudadanas y los ciudadanos independientemente de su origen, credo u orientación sexual, algo que pone en cuestión la extrema derecha que amenaza con entrar en el gobierno para subvertir los valores de Madrid.",4
13,"Tenemos un programa ambicioso y realista que muestra que nosotros nos tomamos muy en serio el futuro de la Comunidad de Madrid. Que en muchos casos se centra en poner en marcha consensos que ya se han alcanzado en la Asamblea de Madrid y que el Gobierno regional luego no ha ejecutado al estar más ocupado en la crispación que en la gestión. En definitiva, es un proyecto para gobernar en serio.",4
14,"VACUNACIÓN, LUCHA CONTRA
EL VIRUS E IMPULSO SANITARIO.",4
15,"El deseo de todos los madrileños y madrileñas es recuperar cuanto antes la normalidad que nos arrebató la pandemia. También lo es evitar por todos los medios que se vuelvan a producir los errores que llevaron a tener una de las mayores tasas de mortalidad, especialmente entre nuestros mayores que viven en residencias. Para lograrlo no valen atajos ni es aceptable caer en la imprudencia por puro afán electoral. Lo único viable es acelerar el proceso de vacunación y apostar por una prevención inteligente para evitar rebrotes, para lo cual proponemos un plan de choque con medidas concretas que van más allá de lo sanitario y se enfocan también a ámbitos como el sistema educativo.",4
